Sample,Location,Borehole,Depth,Moisture content (%),Cohesion (kPa),Angle of friction (ϕ),Plasticity Index,Soil bulk density (kN/m3),Soil dry density (kN/m3),SPT,Porosity (%),Initial void ratio (e),Initial degree of saturation (Sr) %,pH,TOC,Lab. Resistivity  (ρa)
1,UTP,BH 1,0.5,14.39,22.03,29.11,19.70,17.06,14.91,11,43.72,0.78,49.09,4.73,0.660,436.76
2,,,1.0,11.35,24.67,16.48,17.40,15.54,13.95,9,47.35,0.90,33.44,6.05,0.267,2732.25
3,,,1.5,18.46,25.6,6.84,0.00,17.23,14.54,6,45.12,0.82,59.51,5.98,0.149,186.41
4,,,2.0,12.34,27.8,9.48,0.00,12.72,11.33,4,57.26,1.34,24.41,6.07,0.023,946.18
5,,,2.5,12.55,21.73,8.08,0.00,15.46,13.74,4,48.15,0.93,35.81,5.84,0.007,320.94
6,,,3.0,12.78,25.6,10.48,0.00,16.89,14.98,4,43.48,0.77,44.03,6.18,0.117,138.74
7,PINJI-1,BH 2,0.5,21.06,1.60,24.00,40.10,20.24,16.72,50,36.92,0.59,95.36,4.54,0.046,2124.80
8,,,1.0,14.44,52.00,24.17,29.50,19.81,17.31,50,34.66,0.53,72.13,4.68,0.045,7424.98
9,,,1.5,16.39,8.22,21.86,37.00,22.56,19.38,50,26.86,0.37,118.27,4.71,0.215,4616.57
10,,,2.0,10.67,12.26,21.53,35.10,22.24,20.09,50,24.18,0.32,88.67,4.61,0.000,3868.30
11,,,2.5,27.12,2.63,17.30,50.30,19.70,15.50,50,41.52,0.71,101.22,4.46,0.032,1148.19
12,,,3.0,31.36,5.33,19.16,38.00,20.57,15.66,50,40.92,0.69,119.98,4.46,0.044,1238.64
13,PINJI-2,BH 3,0.5,17.22,1.90,25.00,23.70,19.79,16.88,50,36.31,0.57,80.05,4.37,0.109,2103.06
14,,,1.0,23.84,43.67,22.18,36.40,18.73,15.13,50,42.91,0.75,84.04,4.01,0.026,2934.13
15,,,1.5,27.07,1.24,20.65,45.10,20.58,16.20,50,38.89,0.64,112.74,3.75,0.014,1936.95
16,,,2.0,22.4,10.97,24.68,53.00,19.72,16.11,38,39.21,0.65,92.03,3.93,0.043,1743.64
17,,,2.5,19.82,3.52,14.38,54.50,22.20,18.53,38,30.08,0.43,122.08,3.95,0.015,1965.44
18,,,3.0,27.73,1.94,22.50,61.40,21.33,16.70,38,36.99,0.59,125.17,3.58,0.079,1664.38
19,KOYAN-1,BH 4,0.5,19.57,90.66,49.61,4.76,18.32,15.32,16,42.18,0.73,71.09,5.48,0.060,1191.01
20,,,1.0,22.83,14.01,48.5,14.02,24.60,20.03,16,24.43,0.32,187.13,3.83,0.029,1230.19
21,,,1.5,16.12,42.59,47.42,17,18.59,16.01,18,39.60,0.66,65.15,4.49,0.200,1148.05
22,,,2.0,27.35,81.3,48.52,16.81,20.44,16.05,22,39.45,0.65,111.26,5.45,0.005,1709.61
23,,,2.5,26.19,42.6,35.34,25.94,20.67,16.38,24,38.18,0.62,112.38,4.12,0.030,887.25
24,,,3.0,24.6,10.95,35.96,16.05,20.04,16.08,30,39.31,0.65,100.64,5.24,0.020,885.94
25,KOYAN-2,BH 5,0.5,31.55,88.21,49.57,19.43,17.21,13.08,40,50.63,1.03,81.53,4.94,0.007,2907.50
26,,,1.0,35.36,85.26,48.48,19.34,16.15,11.93,40,54.98,1.22,76.72,6.10,0.120,1671.40
27,,,1.5,43.19,60.85,47.64,15.95,19.10,13.34,40,49.66,0.99,116.01,4.27,0.140,1304.76
28,,,2.0,21.71,67.17,49.08,19.04,18.02,14.80,42,44.14,0.79,72.81,4.81,0.090,1471.62
29,,,2.5,42.51,90.48,49.13,12.95,18.92,13.27,46,49.91,1.00,113.05,4.59,0.190,735.99
30,,,3.0,35.21,65.14,49.70,12.42,18.33,13.56,48,48.83,0.95,97.78,4.44,0.100,1507.21
31,ULU PUDU -1,BH 6,0.5,25.69,91.93,49.8,18.82,19.52,15.53,6,41.40,0.71,96.36,6.23,0.650,10.74
32,,,1.0,19.53,76.03,26.01,18.20,18.01,15.07,8,43.14,0.76,68.23,4.29,0.004,33.62
33,,,1.5,27.83,26.54,37,11.25,22.09,17.28,10,34.80,0.53,138.18,3.87,0.030,134.77
34,,,2.0,30.52,30.76,35.6,20.85,17.31,13.26,10,49.96,1.00,81.00,3.82,0.029,113.33
35,,,2.5,27.32,62.69,49.85,21.53,20.11,15.79,14,40.41,0.68,106.78,6.09,0.220,299.18
36,,,3.0,16.09,39.99,28.71,23.92,17.13,14.75,14,44.33,0.80,53.55,5.33,0.150,427.40
37,ULU PUDU -2,BH 7,0.5,14.30,76.01,35.81,19.59,23.93,20.94,18,20.99,0.27,142.68,7.23,0.200,582.06
38,,,1.0,18.51,37.26,46.77,21.64,25.48,21.50,20,18.85,0.23,211.12,6.72,0.056,757.34
39,,,1.5,21.53,67.15,25.10,16.24,20.75,17.08,18,35.56,0.55,103.41,6.09,0.268,5918.24
40,,,2.0,19.12,54.21,33.70,21.86,23.83,20.00,20,24.52,0.32,155.94,5.07,0.176,706.95
41,,,2.5,13.34,93.83,49.71,26.26,18.49,16.31,18,38.44,0.62,56.60,4.43,0.244,607.94
42,,,3.0,25.32,92.12,28.60,30.58,17.72,14.14,14,46.64,0.87,76.75,4.4,0.035,3430.98
43,TRONOH -1,BH 8,0.5,19.84,90.21,49.45,10.51,12.42,10.37,2,60.88,1.56,33.78,4.14,1.463,534.35
44,,,1.0,27.82,69.19,47.3,3.25,22.23,17.39,4,34.38,0.52,140.69,5.02,0.030,920.59
45,,,1.5,14.40,94.3,49.21,10.66,18.79,16.43,6,38.02,0.61,62.22,5.85,0.107,880.46
46,,,2.0,16.25,73.41,47.49,8.69,19.58,16.85,20,36.43,0.57,75.16,5.85,0.098,1091.90
47,,,2.5,23.84,90.51,47.24,10.38,30.19,24.38,22,7.99,0.09,727.19,5.9,0.050,1137.57
48,,,3.0,13.44,53.48,34.46,15.56,22.01,19.40,24,26.79,0.37,97.34,6.11,0.613,1429.85
49,TRONOH -2,BH 9,0.5,27.35,99.45,48.55,7.59,15.63,12.27,2,53.68,1.16,62.54,6.72,0.136,527.39
50,,,1.0,13.92,71.13,37.26,6.30,19.85,17.43,4,34.24,0.52,70.85,5.42,0.140,2474.62
51,,,1.5,13.04,67.93,36.32,12.31,18.29,16.18,8,38.96,0.64,54.14,4.3,0.107,955.85
52,,,2.0,14.51,89.81,47.96,18.15,21.55,18.82,16,28.98,0.41,94.23,7.41,0.124,875.57
53,,,2.5,14.81,94.59,49.14,4.96,17.85,15.55,24,41.32,0.70,55.73,5.51,0.118,2153.93
54,,,3.0,14.25,99.64,49.9,13.39,14.59,12.77,28,51.81,1.08,35.12,4.6,0.263,624.60
55,SELAYANG -1,BH 10,0.5,18.03,93.25,42.96,13.04,21.49,18.21,12,31.29,0.46,104.91,7.33,0.464,112.90
56,,,1.0,20.28,66.6,34.11,12.58,28.90,24.02,10,9.34,0.10,521.40,6.05,0.058,84.51
57,,,1.5,18.68,80.4,30.01,18.09,21.10,17.78,8,32.90,0.49,100.97,5.77,0.080,81.08
58,,,2.0,20.09,62.57,37.1,17.07,21.68,18.05,8,31.87,0.47,113.80,6.67,0.147,29.39
59,,,2.5,24.11,82.91,37.75,17.03,18.18,14.65,12,44.72,0.81,78.99,6.85,0.055,81.30
60,,,3.0,22.43,99.07,29.86,27.24,20.20,16.50,14,37.75,0.61,98.00,7.56,0.003,137.87
61,SELAYANG -2,BH 11,0.5,20.86,94.68,28.58,14.46,20.67,17.11,8,35.45,0.55,100.66,7.25,0.121,55.40
62,,,1.0,26.59,67.7,27.45,14.91,17.60,13.90,8,47.54,0.91,77.76,7.86,0.211,139.15
63,,,1.5,16.02,87.02,32.98,16.14,21.62,18.63,7,29.69,0.42,100.53,4.92,0.192,145.23
64,,,2.0,23.96,60.57,27.14,27.96,18.52,14.94,6,43.61,0.77,82.10,6.55,0.124,121.13
65,,,2.5,21.87,93.2,29.55,21.44,19.18,15.74,6,40.62,0.68,84.73,6.4,0.210,106.85
66,,,3.0,17.55,99.62,34.16,13.86,20.22,17.20,7,35.08,0.54,86.05,5.85,0.064,70.40
67,PARIT - 1,BH 12,0.5,26.14,50.5,34.78,10.77,14.71,11.66,6,56.00,1.27,54.42,4.26,0.40,151.32
68,,,1.0,10.51,37.42,47.43,11.71,12.53,11.34,5,57.20,1.34,20.84,4.98,0.08,2459.24
69,,,1.5,11.20,77.52,32,8.94,14.80,13.31,5,49.79,0.99,29.94,5.82,0.08,524.70
70,,,2.0,23.37,62.12,35.14,6.95,13.48,10.92,4,58.78,1.43,43.43,5.04,0.04,4166.87
71,,,2.5,27.09,50.25,20.83,15.31,23.78,18.71,4,29.38,0.42,172.55,4.94,0.12,219.72
72,,,3.0,23.87,60.2,8.45,9.95,17.31,13.97,4,47.28,0.90,70.54,4.99,0.04,187.80
73,PARIT - 2,BH 13,0.5,28.18,56.79,30.6,9.45,17.60,13.73,5,48.20,0.93,80.26,3.66,0.05,527.19
74,,,1.0,20.58,35.86,34.44,10.28,14.28,11.84,5,55.31,1.24,44.06,3.72,0.07,610.20
75,,,1.5,24.55,79.68,37.07,9.13,12.30,9.87,4,62.74,1.68,38.63,4.65,0.09,769.50
76,,,2.0,13.50,66.92,34.9,7.01,8.90,7.84,4,70.41,2.38,15.03,4.69,0.03,360.16
77,,,2.5,28.63,51.59,29.78,9.38,11.91,9.26,4,65.05,1.86,40.76,3.76,0.03,304.39
78,,,3.0,29.97,59.06,29.22,20.11,8.11,6.24,4,76.47,3.25,24.44,4.16,0.09,224.63
79,SHAH ALAM - 1,BH 14,0.5,32.68,57.59,35.12,13.12,17.93,13.51,3,49.01,0.96,90.09,3.28,0.037,616.12
80,,,1.0,64.45,58.49,33.52,23.07,16.17,9.83,3,62.90,1.70,100.75,3.49,0.154,101.62
81,,,1.5,39.05,47.78,42.23,19.71,15.33,11.02,3,58.41,1.40,73.69,3.37,1.170,44.72
82,,,2.0,35.06,40.51,45.29,17.28,15.97,11.83,4,55.37,1.24,74.89,4.08,0.426,250.57
83,,,2.5,53.47,10.43,17.49,14.11,15.59,10.16,4,61.66,1.61,88.09,3.96,0.715,40.93
84,,,3.0,66.32,17.8,31.24,18.49,15.61,9.38,4,64.59,1.82,96.33,4.54,0.442,48.13
85,SHAH ALAM - 2,BH 15,0.5,38.52,22.15,31.07,14.79,14.49,10.46,2,60.52,1.53,66.60,3.23,0.212,203.75
86,,,1.0,52.70,7.92,20.18,17.87,16.33,10.69,3,59.64,1.48,94.50,3.09,0.009,260.84
87,,,1.5,24.16,57.59,26.8,21.32,16.09,12.96,3,51.11,1.05,61.24,3.22,0.163,55.23
88,,,2.0,71.91,58.49,27.21,21.51,17.00,9.89,4,62.68,1.68,113.45,3.51,0.422,40.54
89,,,2.5,33.67,15.75,5.56,18.12,18.03,13.49,4,49.09,0.96,92.52,4.03,1.160,66.35
90,,,3.0,42.08,44.68,24.81,14.79,16.43,11.56,4,56.36,1.29,86.33,5.02,0.216,46.97
91,PUNCAK - 1,BH 16,0.5,19.98,39.45,47.05,34.68,18.45,15.39,18,41.93,0.72,72.95,3.92,0.329,2059.67
92,,,1.0,32.64,53.15,47.2,24.53,17.09,12.88,18,51.39,1.06,81.81,4.21,0.071,2622.00
93,,,1.5,23.76,47.21,37.95,27.59,20.18,16.30,20,38.48,0.63,100.66,3.97,0.001,1714.05
94,,,2.0,29.22,46.92,37.79,18.33,19.65,15.20,20,42.63,0.74,104.22,3.91,0.003,1994.47
95,,,2.5,23.29,43.71,38.18,16.95,20.18,16.37,22,38.23,0.62,99.72,3.80,0.161,1538.49
96,,,3.0,21.36,57.55,34.81,19.55,19.42,16.00,22,39.60,0.66,86.32,3.80,0.060,1830.37
97,PUNCAK - 2,BH 17,0.5,17.54,7.64,43.13,21.26,18.13,15.43,14,41.79,0.72,64.75,3.82,0.181,2483.99
98,,,1.0,26.22,52.35,38.09,23.78,16.58,13.14,14,50.42,1.02,68.33,3.73,0.317,2012.40
99,,,1.5,22.73,63.46,33.53,19.96,19.59,15.97,16,39.75,0.66,91.29,3.78,0.093,1368.26
100,,,2.0,24.50,58.03,38.51,22.74,19.01,15.27,16,42.38,0.74,88.28,3.82,0.096,2020.62
101,,,2.5,26.86,57.8,31.2,21.35,19.74,15.56,18,41.28,0.70,101.26,3.74,0.138,2212.13
102,,,3.0,19.44,54.55,49.67,18.47,20.10,16.83,18,36.49,0.57,89.65,3.70,0.052,1521.14
103,HUTAN MELINTANG - 1,BH 18,0.5,39.22,40.25,14.28,23.71,13.95,10.02,2,62.18,1.64,63.21,3.47,3.214,162.49
104,,,1.0,89.74,38.89,14.95,25.27,13.23,6.97,2,73.69,2.80,84.90,3.37,1.023,81.37
105,,,1.5,122.64,16.29,12.86,23.47,13.38,6.01,2,77.32,3.41,95.34,3.04,2.314,11.94
106,,,2.0,158.46,7.16,3.25,30.25,13.03,5.04,2,80.97,4.26,98.66,4.30,0.758,7.10
107,,,2.5,147.64,12.39,19.49,29.92,13.03,5.26,2,80.15,4.04,96.91,6.42,0.763,5.31
108,,,3.0,134.30,21.61,11.44,30.35,13.49,5.76,2,78.28,3.60,98.75,6.95,1.056,4.34
109,HUTAN MELINTANG - 2,BH 19,0.5,63.41,42.30,38.68,23.01,12.80,7.83,2,70.45,2.38,70.49,3.57,1.751,166.40
110,,,1.0,72.75,39.17,34.04,19.32,14.64,8.48,2,68.01,2.13,90.68,3.32,2.198,69.11
111,,,1.5,126.55,29.96,17.27,26.58,12.74,5.62,2,78.78,3.71,90.33,3.06,1.899,11.91
112,,,2.0,142.88,10.13,5.86,23.98,12.67,5.21,2,80.32,4.08,92.76,4.14,0.877,7.27
113,,,2.5,132.66,4.02,17.54,22.32,14.01,6.02,2,77.27,3.40,103.42,4.55,1.439,2.60
114,,,3.0,141.80,10.50,7.57,30.63,13.11,5.42,2,79.54,3.89,96.65,6.41,1.593,4.79
115,KLANG - 1,BH 20,1.0,41.70,25.59,2.64,16.16,10.04,7.09,1,73.26,2.74,40.33,4.71,1.71,383.46
116,,,2.5,137.47,11.01,19.45,29.90,12.93,5.45,1,79.45,3.87,94.24,4.97,1.50,12.77
117,,,3.0,130.32,8.88,8.47,35.90,12.70,5.51,1,79.19,3.81,90.73,5.61,0.01,10.22
118,KLANG - 2,BH 21,1.0,29.31,24.40,32.59,10.22,16.60,12.84,1,51.56,1.06,72.96,5.34,0.45,248.02
119,,,1.5,162.28,11.83,8.95,26.96,11.41,4.35,1,83.59,5.09,84.45,3.51,7.31,51.57
120,,,2.0,129.61,6.79,7.29,20.91,13.58,5.91,1,77.68,3.48,98.69,4.36,6.84,22.36
121,,,2.5,139.79,2.08,7.29,21.50,13.00,5.42,1,79.55,3.89,95.25,5.04,1.24,10.43
122,,,3.0,146.01,8.38,2.98,24.72,12.38,5.03,1,81.02,4.27,90.67,5.54,13.68,7.74
123,SUNGKAI - 1,BH 22,0.5,14.52,36.23,20.12,13.24,14.52,12.68,2,52.15,1.09,35.30,6.74,0.81,77.13
124,,,1.0,29.96,36.07,19.14,17.72,14.51,11.16,2,57.87,1.37,57.80,4.63,0.36,448.49
125,,,1.5,38.64,55.29,20.89,17.82,17.16,12.38,3,53.29,1.14,89.74,4.56,0.16,453.49
126,,,2.0,39.20,53.21,21.14,7.92,15.86,11.39,4,57.00,1.33,78.36,5.14,0.11,4738.38
127,,,2.5,29.61,40.28,22.89,15.66,17.83,13.76,5,48.09,0.93,84.69,6.63,0.35,569.62
128,,,3.0,19.00,45.54,9.08,9.24,17.88,15.03,6,43.29,0.76,65.95,7.06,0.08,1328.42
129,SUNGKAI - 2,BH 23,0.5,24.96,25.09,19.89,19.83,12.63,10.10,2,61.87,1.62,40.77,4.20,0.59,489.55
130,,,1.0,33.32,35.17,21.87,12.97,13.06,9.80,2,63.02,1.70,51.81,4.50,0.33,803.87
131,,,1.5,32.36,25.41,24.84,18.19,15.95,12.05,3,54.52,1.20,71.54,4.59,0.28,853.31
132,,,2.0,44.89,18.07,19.19,17.66,16.84,11.63,4,56.13,1.28,92.98,4.70,0.33,493.31
133,,,2.5,39.16,43.23,32.13,19.20,16.14,11.60,5,56.23,1.28,80.78,4.04,3.25,93.64
134,,,3.0,8.26,24.29,30.06,8.56,16.84,15.55,5,41.32,0.70,31.09,3.86,0.98,3488.91
135,KOTA KUALA MUDA -1,BH 24,0.5,24.13,21.22,28.52,13.90,17.09,13.77,6,48.04,0.92,69.16,6.92,0.23,5.48
136,,,1.0,71.93,9.56,19.97,20.37,14.13,8.22,4,68.98,2.22,85.73,7.02,1.58,1.83
137,,,1.5,90.87,7.55,6.38,36.21,14.88,7.80,4,70.58,2.40,100.38,7.26,0.75,0.84
138,,,2.0,72.70,12.01,2.59,15.48,14.90,8.63,2,67.45,2.07,92.99,7.28,1.73,0.72
139,,,2.5,110.78,10.66,8.79,16.86,13.99,6.64,2,74.96,2.99,98.07,7.46,1.47,0.54
140,,,3.0,38.01,9.43,9.08,17.72,14.23,10.31,2,61.10,1.57,64.12,7.45,0.94,0.50
141,KOTA KUALA MUDA -2,BH 25,0.5,22.16,19.89,22.11,14.95,19.47,15.94,6,39.84,0.66,88.67,7.33,0.38,4.59
142,,,1.0,82.10,18.43,13.48,14.95,14.28,7.84,5,70.40,2.38,91.48,7.20,0.20,1.11
143,,,1.5,107.52,11.44,16.78,16.18,13.83,6.66,4,74.85,2.98,95.71,7.31,1.13,0.57
144,,,2.0,84.14,6.23,13.48,17.98,14.26,7.74,4,70.78,2.42,92.03,7.42,1.36,0.46
145,,,2.5,55.91,9.17,10.76,19.61,13.71,8.79,2,66.82,2.01,73.56,7.47,1.41,0.57
146,,,3.0,96.77,11.89,9.08,15.81,14.86,7.55,2,71.50,2.51,102.24,7.65,1.89,0.57
147,CYBERJAYA -1,BH 26,1.0,24.15,34.62,17.52,13.71,16.61,13.38,35,49.51,0.98,65.27,4.42,0.40,206.44
148,,,2.5,36.15,28.90,27.51,16.79,14.84,10.90,6,58.86,1.43,66.96,4.46,36.21,61.42
149,,,3.0,490.06,23.67,23.53,27.23,12.10,2.05,10,92.26,11.92,108.92,3.85,45.13,273.39
150,CYBERJAYA -2,BH 27,0.5,23.23,25.66,5.48,16.48,18.20,14.77,30,44.27,0.79,77.50,3.84,18.25,64.17
151,,,1.0,221.91,29.62,14.34,5.81,17.99,5.59,26,78.92,3.74,157.12,3.88,0.17,249.24
152,,,3.0,17.55,32.64,9.08,3.66,17.88,15.21,10,42.59,0.74,62.68,4.37,0.55,60.18
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,33.39,43.96,13.48,27.32,16.41,12.30,15,53.58,1.15,76.65,4.75,0.18,1133.26
154,,,1.0,30.50,67.17,10.86,27.11,16.87,12.93,16,51.22,1.05,76.98,4.59,0.20,3957.42
155,,,1.5,32.12,44.53,15.20,26.96,17.46,13.21,18,50.14,1.01,84.65,4.61,0.01,4660.14
156,,,2.0,23.61,98.49,16.05,24.27,19.04,15.40,20,41.88,0.72,86.83,4.74,0.13,4335.96
157,,,2.5,30.59,88.62,36.47,25.98,16.31,12.49,22,52.86,1.12,72.30,4.60,0.18,777.09
158,,,3.0,25.76,15.48,13.58,24.19,18.20,14.47,24,45.38,0.83,82.16,4.77,0.08,2927.41
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,36.11,45.98,26.37,29.82,14.67,10.78,8,59.34,1.46,65.58,4.44,0.34,1910.48
160,,,1.0,33.18,65.10,17.73,30.28,15.94,11.97,12,54.83,1.21,72.43,4.55,0.29,228.94
161,,,1.5,33.90,43.22,29.22,32.02,16.77,12.52,15,52.74,1.12,80.50,4.45,0.15,6560.99
162,,,2.0,32.69,41.51,21.78,31.75,16.46,12.40,19,53.19,1.14,76.23,4.55,0.15,3196.38
163,MELAKA - 1,BH 30,0.5,22.40,43.87,25.62,17.83,17.75,14.50,3,45.27,0.83,71.78,7.08,0.33,155.02
164,,,1.0,74.11,33.22,29.22,19.45,15.41,8.85,3,66.61,1.99,98.45,5.86,0.77,15.18
165,,,1.5,60.77,39.53,24.87,26.71,15.00,9.33,4,64.80,1.84,87.48,5.21,4.20,8.21
166,,,2.0,90.68,26.51,21.78,30.67,13.16,6.90,4,73.96,2.84,84.60,3.72,7.43,4.40
167,,,2.5,96.82,11.10,11.53,24.13,13.81,7.02,4,73.53,2.78,92.38,5.44,2.92,2.50
168,,,3.0,100.43,10.36,12.31,38.63,13.30,6.64,4,74.96,2.99,88.91,3.77,1.48,2.02
169,MELAKA - 2,BH 31,0.5,11.55,43.67,43.14,12.73,20.19,18.10,3,31.69,0.46,65.98,5.96,0.41,17.57
170,,,1.0,24.31,35.11,33.83,17.86,20.31,16.34,3,38.34,0.62,103.62,5.19,0.77,15.94
171,,,1.5,66.59,22.08,29.81,31.59,14.67,8.81,4,66.76,2.01,87.87,4.80,4.84,4.30
172,,,2.0,71.61,16.98,25.62,23.55,15.13,8.82,4,66.74,2.01,94.59,4.38,4.36,4.61
173,,,2.5,87.15,18.74,25.62,17.97,13.94,7.45,4,71.90,2.56,90.27,4.38,4.09,2.92
174,,,3.0,91.72,20.75,17.73,22.52,13.87,7.23,4,72.71,2.66,91.25,4.18,3.60,1.86
175,PERLIS - 1,BH 32,0.5,11.21,34.93,42.30,18.18,16.46,14.80,5,44.14,0.79,37.59,6.89,0.66,4.14
176,,,1.0,71.52,25.28,19.37,22.32,15.11,8.81,4,66.75,2.01,94.41,6.83,4.66,0.89
177,,,1.5,78.56,16.98,17.73,18.71,15.07,8.44,4,68.15,2.14,97.31,7.04,3.01,1.38
178,,,2.0,116.17,16.47,47.35,26.28,13.88,6.42,3,75.76,3.13,98.48,6.36,4.88,0.45
179,,,2.5,76.97,12.21,23.08,21.66,14.13,7.98,3,69.87,2.32,87.95,6.46,2.11,0.48
180,,,3.0,86.30,10.69,9.08,19.72,14.02,7.53,3,71.59,2.52,90.74,6.50,3.49,0.44
181,PERLIS - 2,BH 33,0.5,10.48,34.09,43.59,16.12,15.69,14.20,5,46.41,0.87,32.07,7.18,0.82,8.57
182,,,1.0,69.99,32.70,23.34,22.53,15.79,9.29,4,64.95,1.85,100.07,6.87,2.13,0.81
184,,,2.0,91.86,17.30,19.97,14,13.63,7.10,3,73.19,2.73,89.16,6.58,1.98,1.23
185,,,2.5,90.02,14.12,11.39,14.43,15.06,7.92,3,70.10,2.34,101.75,6.59,6.39,1.32
186,,,3.0,95.65,11.32,9.08,18.3,14.92,7.63,3,71.21,2.47,102.45,6.72,1.50,2.27
187,CAMERON - 1,BH 34,0.5,22.63,87.85,14.72,11.4,13.66,11.14,3,57.96,1.38,43.50,5.30,0.66,324.77
188,,,1.0,24.88,87.06,41.48,11.5,14.64,11.73,3,55.75,1.26,52.33,4.11,0.09,383.57
189,,,1.5,21.63,64.40,46.23,22.71,16.02,13.17,4,50.30,1.01,56.64,4.06,0.06,545.16
190,,,2.0,22.45,46.23,13.48,10.01,15.83,12.93,5,51.22,1.05,56.66,4.05,0.16,738.17
191,,,2.5,22.34,51.32,27.81,13.16,15.68,12.82,5,51.63,1.07,55.46,4.12,0.09,946.18
192,,,3.0,23.24,42.06,48.75,9.84,14.68,11.91,5,55.05,1.22,50.29,4.27,0.05,994.62
193,CAMERON - 2,BH 35,0.5,20.23,88.85,34.00,10.94,14.80,12.31,5,53.55,1.15,46.50,4.36,0.11,394.49
194,,,1.0,20.92,88.52,43.80,14.77,15.02,12.42,3,53.13,1.13,48.91,4.10,0.11,636.01
195,,,1.5,22.23,65.55,27.08,14.85,15.29,12.51,5,52.81,1.12,52.65,4.09,0.07,433.60
196,,,2.0,24.84,44.50,44.70,15.52,15.48,12.40,5,53.20,1.14,57.92,4.11,0.10,623.03
197,,,2.5,26.50,58.41,47.59,14.51,15.91,12.58,6,52.53,1.11,63.47,4.27,0.13,386.09
198,,,3.0,26.69,40.08,25.78,13.52,15.66,12.36,6,53.37,1.14,61.80,4.08,0.06,717.29
199,PULAU INDAH - 1,BH 36,0.5,3.36,66.47,8.23,6.56,13.66,13.22,2,50.12,1.00,8.86,7.95,1.55,2493.18
200,,,1.0,6.32,65.38,1.51,11.96,14.64,13.77,2,48.03,0.92,18.12,8.15,0.45,4452.10
201,,,1.5,3.16,66.30,3.14,2.71,16.02,15.53,2,41.40,0.71,11.85,5.94,0.65,4361.24
202,,,2.0,12.89,62.02,6.42,8.27,15.83,14.02,2,47.09,0.89,38.38,6.79,0.53,138.51
203,,,2.5,1.28,60.74,5.47,13.52,15.68,15.48,2,41.57,0.71,4.77,5.95,0.23,4361.24
204,,,3.0,61.63,66.75,4.91,12.21,14.68,9.08,2,65.73,1.92,85.16,6.48,0.19,12.33
205,PEKAN - 1,BH 37,1.0,57.34,39.01,13.10,25.8,13.20,8.39,2,68.34,2.16,70.38,3.50,4.92,24.24
206,,,1.5,127.30,20.27,8.76,33.71,12.47,5.49,1,79.30,3.83,88.08,3.40,22.59,23.87
207,,,2.0,93.90,26.86,7.78,18.1,13.50,6.96,1,73.73,2.81,88.67,3.39,4.87,31.90
208,,,2.5,62.87,26.97,11.25,24.43,14.96,9.19,1,65.33,1.88,88.40,3.42,2.83,32.95
209,,,3.0,52.22,26.03,10.22,8.74,15.54,10.21,2,61.48,1.60,86.71,4.14,2.49,39.59
210,PEKAN - 2,BH 38,1.0,69.97,17.63,8.12,20.53,14.26,8.39,2,68.35,2.16,85.86,3.73,3.32,36.65
211,,,1.5,98.03,14.65,9.87,19.01,13.46,6.80,1,74.36,2.90,89.59,3.51,4.65,17.48
212,,,2.0,69.10,19.70,10.01,23.47,14.48,8.56,1,67.69,2.10,87.40,3.57,3.61,20.37
213,,,2.5,60.04,18.14,10.56,14.43,15.55,9.71,1,63.34,1.73,92.07,3.59,4.70,28.09
214,,,3.0,46.77,17.62,8.58,9.88,15.89,10.82,2,59.16,1.45,85.58,3.61,3.10,35.07
215,DAMANSARA -1,BH 39,1.0,16.48,22.30,47.81,19.12,13.72,11.78,18,57.24,1.25,34.96,,,1593.44
216,,,2.0,15.38,31.90,47.43,22.62,13.50,11.70,18,55.85,1.27,32.22,,,707.13
217,,,3.0,18.39,50.93,48.96,21.05,15.54,13.13,18,50.47,1.02,47.83,,,1134.28
218,DAMANSARA -2,BH 40,1.0,18.95,27.72,48.03,22.85,14.84,12.48,14,54.78,1.12,44.67,,,14458.79
219,,,2.0,16.46,46.67,68.82,22.60,14.60,12.54,18,53.09,1.11,39.17,,,7876.51
220,,,3.0,21.40,39.06,40.50,20.50,16.43,13.53,22,50.62,0.96,59.17,,,3670.76
221,MARANG - 1,BH 41,1.0,13.63,3.00,75.90,10.33,15.62,13.74,45,48.14,0.93,38.92,,,10087.35
222,,,2.0,15.34,3.16,74.53,12.46,14.92,12.93,45,51.20,1.05,38.75,,,481.28
223,,,3.0,14.57,1.40,75.76,12.64,15.22,13.28,45,49.88,1.00,38.80,,,1492.06
